marcaTemporal,genero,fnacimiento,signoZodiacal,confianza,optimista,atencion,afecto,extrovertida,inteligente,deprime,fiesta,fisico,ejercicio,solitaria,viajar,estacion,emprendedor,pesimista,introvertida,elemento
1/7/2022 17:13:31,Mujer,13/7/2022,Géminis ,2,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,3
5/7/2022 20:10:53,Mujer,3/4/2001,Aries ,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,3
5/7/2022 21:07:23,Hombre,21/12/2000,Sagitario ,3,1,1,1,0,1,0,0,1,0,1,1,3,0,0,1,3
5/7/2022 20:18:32,Mujer,20/8/2003,Leo ,3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
5/7/2022 20:29:15,Hombre,16/1/2001,Capricornio,3,1,0,0,0,1,1,0,1,0,1,1,3,0,1,1,3
11/7/2022 16:35:23,Hombre,21/12/2000,Sagitario,3,0,0,0,0,0,1,0,0,0,1,1,3,0,1,0,0
1/7/2022 17:22:35,Hombre,9/7/2022,Cancer,2,0,1,0,1,0,1,1,0,0,0,1,2,1,1,0,1
5/7/2022 20:19:08,Hombre,5/1/2001,Eso lo deberias de saber tu con mi fecha 🤭🙈👀,4,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,2
1/7/2022 17:31:29,Mujer,18/2/2007,Acuario,3,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
5/7/2022 20:16:19,Mujer,16/4/2001,Aries ,3,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0
11/7/2022 16:35:58,Hombre,25/3/2002,Aries,4,1,1,1,1,1,1,1,1,1,1,1,3,0,0,0,3
1/7/2022 17:42:28,Hombre,7/12/1997,sagitario,4,1,1,0,1,1,1,1,1,1,0,0,3,1,0,0,1
1/7/2022 17:48:35,Mujer,8/4/2001,Aries,5,1,0,1,1,0,1,0,1,0,1,1,2,1,0,0,0
1/7/2022 18:04:06,Hombre,6/12/2000,Sagitario ,4,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,3
1/7/2022 18:25:01,Mujer,26/8/1984,Virgo ,2,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
1/7/2022 18:54:34,Hombre,20/8/2001,Leo ,4,0,1,1,1,1,1,1,1,1,0,1,3,1,1,0,0
1/7/2022 23:27:42,Mujer,10/3/2001,Piscis,2,1,1,0,1,1,1,0,0,0,1,0,3,1,0,0,0
5/7/2022 20:11:58,,,,3,1,0,0,0,1,1,0,0,1,1,1,3,1,0,1,0
5/7/2022 20:25:18,,,,5,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,2
5/7/2022 20:47:12,,,,5,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,3
5/7/2022 21:45:06,,,,4,1,0,1,0,1,1,0,1,1,1,1,3,0,0,1,0
12/7/2022 2:05:33,,,,5,1,1,1,1,1,0,1,1,1,1,1,2,1,0,0,3
11/7/2022 16:27:44,,,,3,1,0,0,0,0,0,0,1,0,1,0,3,0,0,1,3
11/7/2022 17:09:32,,,,3,1,1,1,1,1,0,0,1,1,1,1,3,1,0,1,0
11/7/2022 17:55:59,,,,5,1,0,1,0,1,0,0,1,1,0,1,3,0,1,1,2
11/7/2022 18:47:09,,,,3,1,0,1,1,1,0,1,1,1,1,1,2,0,0,0,0
11/7/2022 22:00:03,,,,3,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,3
11/7/2022 22:01:26,,,,4,1,0,1,0,1,1,0,0,0,1,1,3,0,0,1,3
11/7/2022 22:06:48,,,,5,0,1,1,0,1,1,0,0,0,1,0,3,0,0,1,0
11/7/2022 22:08:52,,,,4,1,0,1,1,1,0,0,1,1,0,1,2,1,0,0,3
11/7/2022 22:12:08,,,,3,1,1,1,1,1,1,1,0,0,1,1,3,1,0,1,3
11/7/2022 22:22:23,,,,5,1,1,1,0,1,0,0,1,0,1,1,3,0,1,1,0
11/7/2022 22:22:32,,,,3,1,1,1,0,1,0,0,1,1,1,1,2,0,0,1,3
11/7/2022 22:22:53,,,,3,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,3
11/7/2022 22:27:28,,,,1,1,1,1,1,1,1,0,0,1,1,1,3,1,1,1,0
11/7/2022 23:12:50,,,,4,1,0,1,1,0,0,0,1,1,0,1,3,0,0,0,0
